	index	claim_input	claim_idx	applicationNumber	groupArtUnitNumber	applicationTypeCategory	relatedDocumentData	patentClassification	applicantCitedExaminerReferenceIndicatorCount	filingDate	publicationDate	claimNumberArrayDocument	abstract	percentile	claim_label_101	claim_label_102	claim_label_103	claim_label_112	relatedApplicationNumber	max_score_x	mean_score	max_citations	max_other_citations	max_article_citations	max_score_y	component	is_closed	is_open	is_half	similarity_product	transitional_phrase	app_claim_id	bert_scores_102	claim_label_combined	bert_scores_101	combined_pred_scores	claim_label_101_adjusted	bert_score_102_app_feats_no_hinge	bert_score_101_app_feats	bert_score_102_app_feats_w_hinge	bert_score_102_no_app_feats	dataset	lexical_diversity	patent_class	foreignPriority
0	8	A fob device comprising:\n a portable housing below a threshold size needed to accommodate an input/output component for providing access to a functionality of the fob device that would not otherwise be accessible, the portable housing including contents comprising:\n a mobile processor configured to provide input and output interfaces to one or more paired modular extension devices that is customized based on a form factor of the one or more paired modular extension devices.	1	15884207	2181	Utility	1.0	"[""710"", ""063000""]"	13.0	2018-01	2018-06	50.0	A fob device includes a portable housing below a size needed to accommodate an input/output component for providing access to a functionality of the fob device that would not otherwise be accessible. The fob device also includes a mobile processor, a wireless interface, a volatile memory, a rechargeable battery, a charging interface, and storage medium having instructions that when executed causes the fob to receive a pairing request from a modular extension device that can provide access to the full functionality of the fob device that would not otherwise be accessible, pair with the modular extension device, and provide interfaces to the modular extension device that are customized based on a form factor of the modular extension device.	86.0	1	0	1	0	['15062038', '15144528', '15803359', '15108728', '10875054']	291.6772	165.96418200000005	16.0	2.0	4.0	0.8926188349723816	1	0	1	0	260.3565624520064	open	(15884207, 1)	0.4987780199792682	0	0.6530175100812518	0.6375935610710534	1	0.1942644269002285	0.6530175100812518	0.2028151762534934	0.5240989212399316	test	1.92424	710.0	False
1	1012613	A method as in  claim 1 , wherein the effective time is later in time than the transaction time.	6	15876618	2474	Utility	4.0	"[""370"", ""381000""]"	0.0	2018-01	2018-08	36.0	Non-destructive data storage is disclosed. An information change is stored that is associated with a business object such that tracking of the information change is enabled with respect to one a transaction time and/or an effective time. The stored information change is accessed with respect to a time.	86.0	1	1	0	1	['11429645', '13253017', '14286707', '14858023', '12151961']	207.72331	189.32972	14.0	0.0	1.0	0.8788206577301025	0	0	0	0	182.551535920074	none	(15876618, 6)	0.4668584181445661	1	0.5685141395020584	0.5583485673663091	0	0.3827732104877293	0.5685141395020584	0.4389142736565823	0.4499327110118535	test	1.64516	370.0	False
2	1012612	A method as in  claim 1 , wherein the effective time is earlier in time than the transaction time.	5	15876618	2474	Utility	4.0	"[""370"", ""381000""]"	0.0	2018-01	2018-08	36.0	Non-destructive data storage is disclosed. An information change is stored that is associated with a business object such that tracking of the information change is enabled with respect to one a transaction time and/or an effective time. The stored information change is accessed with respect to a time.	86.0	1	1	0	1	['11429645', '13253017', '14286707', '14858023', '12151961']	207.72331	189.32972	14.0	0.0	1.0	0.9730073809623718	0	0	0	0	202.11631382793485	none	(15876618, 5)	0.4549182838235345	1	0.5714296937409516	0.55977855274921	0	0.3814833489242292	0.5714296937409516	0.4374250345620392	0.4588756761861293	test	1.64516	370.0	False
3	1012611	A method as in  claim 1 , wherein storing the information change includes storing the effective time associated with the information change.	4	15876618	2474	Utility	4.0	"[""370"", ""381000""]"	0.0	2018-01	2018-08	36.0	Non-destructive data storage is disclosed. An information change is stored that is associated with a business object such that tracking of the information change is enabled with respect to one a transaction time and/or an effective time. The stored information change is accessed with respect to a time.	86.0	1	1	0	1	['11429645', '13253017', '14286707', '14858023', '12151961']	207.72331	189.32972	14.0	0.0	1.0	0.8866914510726929	0	0	0	0	184.1864831655228	none	(15876618, 4)	0.4658590277362119	1	0.5687579682582081	0.5584680742060085	0	0.1345872921365643	0.5687579682582081	0.3124411529710381	0.2644472368586696	test	1.64516	370.0	False
4	1012610	A method as in  claim 1 , wherein storing the information change includes storing the transaction time associated with the information change.	3	15876618	2474	Utility	4.0	"[""370"", ""381000""]"	0.0	2018-01	2018-08	36.0	Non-destructive data storage is disclosed. An information change is stored that is associated with a business object such that tracking of the information change is enabled with respect to one a transaction time and/or an effective time. The stored information change is accessed with respect to a time.	86.0	1	1	0	1	['11429645', '13253017', '14286707', '14858023', '12151961']	207.72331	189.32972	14.0	0.0	1.0	0.9801292419433594	0	0	0	0	203.59569036426544	none	(15876618, 3)	0.4540173783231085	1	0.5716499672653725	0.5598867083711462	0	0.202991264509336	0.5716499672653725	0.3423111386241483	0.3139201757290047	test	1.64516	370.0	False
5	1012609	A method for non-destructive data storage including:\n storing an information change associated with a business object such that tracking of the information change is enabled with respect to one of the following: a transaction time, an effective time, or a transaction time and an effective time; and accessing the stored information change with respect to a time, comprising:\n retrieving the information change from a chain of effective changes associated with an instance of the business object.	2	15876618	2474	Utility	4.0	"[""370"", ""381000""]"	0.0	2018-01	2018-08	36.0	Non-destructive data storage is disclosed. An information change is stored that is associated with a business object such that tracking of the information change is enabled with respect to one a transaction time and/or an effective time. The stored information change is accessed with respect to a time.	86.0	1	1	0	1	['11429645', '13253017', '14286707', '14858023', '12151961']	207.72331	189.32972	14.0	0.0	1.0	0.9172639250755308	1	0	1	0	190.5370986602813	open	(15876618, 2)	0.4596957930864711	1	0.5403529746272979	0.5322872564732153	0	0.1495151959152357	0.5403529746272979	0.2205032495820163	0.1994585167891545	test	1.64516	370.0	False
6	1012533	The method of  claim 113 , wherein the isolated, synthetic or recombinant disulfide-rich peptide is administered via intracerebroventricular (i.c.v.) administration, intravenous (i.v.) administration, intraarterial (i.a.), or intranasal (i.n.) administration.	118	15745432	1649	Utility	2.0	"[""514"", ""017700""]"	0.0	2018-01	2018-07	78.0	The invention relates to disulfide-rich peptides derived from spider venom and their use, particularly as neuroprotective agents. The invention also relates to nucleic acid molecules encoding the peptides as well as constructs and host cells comprising those nucleic acid molecules.	86.0	1	1	1	0	['16312020', '12670099', '14116862', '09852378', '13812457']	269.69702	248.540574	37.0	9.0	36.0	0.6442745923995972	0	0	0	0	173.758937631886	none	(15745432, 118)	0.5140386143984739	1	0.7780963048411523	0.7516905357968845	0	0.9175984535747556	0.7780963048411523	0.8207858601547652	0.9286285323427432	test	1.3871	514.0	True
7	1012532	The method of  claim 113 , wherein the isolated, synthetic or recombinant disulfide-rich peptide comprises SEQ ID NO: 16.	117	15745432	1649	Utility	2.0	"[""514"", ""017700""]"	0.0	2018-01	2018-07	78.0	The invention relates to disulfide-rich peptides derived from spider venom and their use, particularly as neuroprotective agents. The invention also relates to nucleic acid molecules encoding the peptides as well as constructs and host cells comprising those nucleic acid molecules.	86.0	1	1	1	0	['16312020', '12670099', '14116862', '09852378', '13812457']	269.69702	248.540574	37.0	9.0	36.0	0.6792376041412354	0	0	0	0	183.18835770883084	none	(15745432, 117)	0.5112639779711255	1	0.7784811067464891	0.7517593938689527	0	0.9468397294642072	0.7784811067464891	0.821393214837194	0.9486164879664278	test	1.3871	514.0	True
8	1012531	The method of  claim 113 , wherein the disease or condition is neuronal damage following stroke.	116	15745432	1649	Utility	2.0	"[""514"", ""017700""]"	0.0	2018-01	2018-07	78.0	The invention relates to disulfide-rich peptides derived from spider venom and their use, particularly as neuroprotective agents. The invention also relates to nucleic acid molecules encoding the peptides as well as constructs and host cells comprising those nucleic acid molecules.	86.0	1	1	1	0	['16312020', '12670099', '14116862', '09852378', '13812457']	269.69702	248.540574	37.0	9.0	36.0	0.6388431787490845	0	0	0	0	172.2941015559554	none	(15745432, 116)	0.5144696112132556	1	0.7780364793227057	0.7516797925117606	0	0.9479709279942612	0.7780364793227057	0.8219098074152913	0.946216436328686	test	1.3871	514.0	True
9	1012530	The method of  claim 113 , wherein the disease or condition is stroke.	115	15745432	1649	Utility	2.0	"[""514"", ""017700""]"	0.0	2018-01	2018-07	78.0	The invention relates to disulfide-rich peptides derived from spider venom and their use, particularly as neuroprotective agents. The invention also relates to nucleic acid molecules encoding the peptides as well as constructs and host cells comprising those nucleic acid molecules.	86.0	1	1	1	0	['16312020', '12670099', '14116862', '09852378', '13812457']	269.69702	248.540574	37.0	9.0	36.0	0.56840980052948	0	0	0	0	153.29842934159518	none	(15745432, 115)	0.5200560282690802	1	0.7772595598268892	0.7515392066711083	0	0.9484523856219548	0.7772595598268892	0.8202790923980765	0.9381161093235292	test	1.3871	514.0	True
